id;course_id;grade
3;3;8
3;3;7
3;3;9
3;3;8
3;3;9.5
3;3;11
3;3;12
3;3;6.5
3;3;4
3;8;14.25
3;8;15.5
3;8;16.25
3;8;12.25
3;8;14.5
3;8;13.75
3;8;15
3;8;14.75
3;4;9
3;4;11
3;4;7
3;4;7
3;4;7.5
3;4;12.5
3;4;4
3;4;4.5
3;4;9
3;9;9.5
3;9;11
3;9;16
3;9;8
3;9;10.5
3;9;11
3;2;12
3;2;15
3;2;13
3;2;16
3;2;12
3;2;13
3;2;16
3;7;10
3;7;9
3;7;11.5
3;7;7.5
3;7;9.5
3;7;9.5
3;7;10
3;7;10.5
3;7;10
3;10;10.5
3;10;11.5
3;10;12
3;10;16.5
3;1;15
3;1;15.5
3;1;15
3;1;15.5
3;1;15.5
3;5;9
3;5;7.25
3;5;10.25
3;5;7.75
3;5;8.5
3;5;8
3;6;8.25
3;6;8.25
3;6;6.75
3;6;7
3;6;7
3;6;8
3;6;8.25
42;3;9
42;3;7
42;3;7
42;3;2
42;3;8
42;3;6
42;3;5.5
42;3;*
42;3;5.5
42;8;14.5
42;8;15.25
42;8;14.75
42;8;14.25
42;8;15.25
42;8;14.25
42;8;14.5
42;8;13
42;4;8
42;4;11
42;4;9.5
42;4;8
42;4;11.5
42;4;6.5
42;4;17.5
42;4;7.5
42;4;4.5
42;9;12
42;9;8
42;9;11.5
42;9;12.5
42;9;10
42;9;13
42;9;13
42;2;14
42;2;12
42;2;17
42;2;15
42;2;19
42;2;17
42;2;16
42;7;11
42;7;12
42;7;9.5
42;7;10
42;7;9.5
42;7;10
42;7;11
42;7;9.5
42;7;10.5
42;10;19
42;10;7
42;10;9
42;10;11
42;10;18.5
42;1;14
42;1;12.5
42;1;12.5
42;1;14
42;1;14
42;5;8.75
42;5;7.5
42;5;9.5
42;5;9
42;5;7
42;5;10.75
42;5;7.75
42;5;7.5
42;6;9
42;6;5.25
42;6;8.5
42;6;7.25
42;6;6.25
42;6;5.5
42;6;7.25
51;3;9.5
51;3;7
51;3;4
51;3;1
51;3;10
51;3;7
51;3;7.5
51;3;7
51;3;12
51;8;14.25
51;8;15.75
51;8;17.25
51;8;15.25
51;8;14.5
51;8;12
51;8;15.5
51;8;16.25
51;4;4.5
51;4;4
51;4;6
51;4;7.5
51;4;9
51;4;6.5
51;4;12.5
51;4;14
51;9;9.5
51;9;7
51;9;11
51;9;18
51;9;13
51;9;15
51;9;12.5
51;2;18
51;2;13
51;2;12
51;2;20
51;2;13
51;2;19
51;2;17
51;7;11
51;7;8.5
51;7;10
51;7;10.5
51;7;11
51;7;10
51;7;11.5
51;7;7
51;10;14.5
51;10;12.5
51;10;8.5
51;10;6
51;10;13.5
51;1;13.5
51;1;13
51;1;15
51;1;15
51;1;15
51;5;7
51;5;9
51;5;8.25
51;5;7.75
51;5;10.5
51;5;7.75
51;5;9.25
51;6;9.5
51;6;12.5
51;6;8
51;6;7
51;6;8.75
51;6;8
51;6;8.5
53;3;13
53;3;9
53;3;5.5
53;3;5.5
53;3;9.5
53;3;5.5
53;3;11
53;3;10
53;3;12.5
53;8;16
53;8;15
53;8;14.25
53;8;13.75
53;8;16.5
53;8;13.75
53;8;14
53;8;15.25
53;4;11.5
53;4;3
53;4;11.5
53;4;10.5
53;4;8.5
53;4;9.5
53;4;9.5
53;4;9
53;4;7.5
53;9;15.5
53;9;13.5
53;9;12.5
53;9;15.5
53;9;*
53;9;12.5
53;9;13
53;2;17
53;2;16
53;2;14
53;2;17
53;2;15
53;2;15
53;2;13
53;7;9
53;7;11
53;7;11
53;7;11.5
53;7;10.5
53;7;9
53;7;10
53;7;9.5
53;7;12
53;10;13
53;10;11.5
53;10;13
53;10;13
53;10;13
53;1;13
53;1;15
53;1;13
53;1;13.5
53;1;13.5
53;5;8.5
53;5;10
53;5;9.25
53;5;11.75
53;5;10.5
53;5;9
53;5;9.25
53;5;7.5
53;6;*
53;6;4
53;6;8.75
53;6;5.5
53;6;6.5
53;6;7
53;6;9
56;3;9
56;3;6
56;3;6.5
56;3;8
56;3;9
56;3;7
56;3;8.5
56;3;7
56;3;12
56;8;15.5
56;8;15.75
56;8;15.25
56;8;14
56;8;13.5
56;8;13.75
56;8;14
56;8;13.5
56;4;11
56;4;8.5
56;4;12
56;4;3
56;4;7.5
56;4;7
56;4;12.5
56;4;9
56;4;7.5
56;9;17.5
56;9;14.5
56;9;15
56;9;9
56;9;16
56;9;16
56;9;11
56;2;14
56;2;19
56;2;16
56;2;15
56;2;14
56;2;18
56;2;12
56;7;11
56;7;9.5
56;7;11.5
56;7;10.5
56;7;7.5
56;7;11
56;7;10.5
56;7;10.5
56;7;12.5
56;10;12.5
56;10;12.5
56;10;11.5
56;10;8
56;1;14
56;1;14
56;1;15.5
56;1;13
56;1;13
56;5;9.5
56;5;9.5
56;5;6.5
56;5;7.75
56;5;9.25
56;5;7
56;5;8.5
56;5;9.75
56;6;7
56;6;6.75
56;6;9.25
56;6;10.25
56;6;4.5
56;6;7.25
57;3;8.5
57;3;10.5
57;3;5.5
57;3;12.5
57;3;9
57;3;10.5
57;3;5
57;3;11
57;3;7
57;8;15.25
57;8;15.5
57;8;15
57;8;13.25
57;8;15.75
57;8;14.25
57;8;12.75
57;4;5
57;4;3.5
57;4;3.5
57;4;7.5
57;4;5.5
57;4;10.5
